id,WORDTYPES,SWORDTYPES,LEXTYPES,SLEXTYPES,WORDTOKENS,SWORDTOKENS,LEXTOKENS,SLEXTOKENS,LD,LS1,LS2,VS1,VS2,CVS1,NDW,NDWZ,NDWERZ,NDWESZ,TTR,MSTTR,CTTR,RTTR,LOGTTR,UBER,LV,VV1,SVV1,CVV1,VV2,NV,ADJV,ADVV,MODV
lm201,172,59,138,56,467,118,189,76,0.40,0.40,0.34,0.13,0.80,0.63,172,36,32.40,33.40,0.37,0.65,5.63,7.96,0.84,16.43,0.73,0.62,17.42,2.95,0.15,0.79,0.04,0.05,0.09
lm202,226,61,167,58,658,120,261,79,0.40,0.30,0.27,0.10,0.58,0.54,226,26,35.80,31.70,0.34,0.68,6.23,8.81,0.84,17.11,0.64,0.66,27.11,3.68,0.16,0.65,0.05,0.05,0.10
lm203,130,41,100,41,263,69,123,51,0.47,0.41,0.32,0.17,0.67,0.58,130,39,34.20,33.50,0.49,0.70,5.67,8.02,0.87,19.14,0.81,0.83,16.67,2.89,0.16,0.79,0.10,0.07,0.16
lm204,229,68,172,66,778,124,295,93,0.38,0.32,0.30,0.14,1.41,0.84,229,37,35.20,35.20,0.29,0.68,5.81,8.21,0.82,15.74,0.58,0.49,17.25,2.94,0.12,0.62,0.06,0.07,0.13
lm205,90,27,65,26,221,55,95,32,0.43,0.34,0.30,0.15,0.59,0.54,90,29,33.00,32.20,0.41,0.64,4.28,6.05,0.83,14.09,0.68,0.56,8.33,2.04,0.16,0.75,0.03,0.07,0.11
lm206,189,53,138,50,508,122,215,72,0.42,0.33,0.28,0.09,0.36,0.43,189,36,36.00,34.60,0.37,0.70,5.93,8.39,0.84,17.05,0.64,0.55,13.09,2.56,0.11,0.71,0.08,0.07,0.16
lm207,143,49,105,46,333,103,142,67,0.43,0.47,0.34,0.19,0.76,0.62,143,33,33.70,32.20,0.43,0.66,5.54,7.84,0.85,17.33,0.74,0.81,13.76,2.62,0.12,0.72,0.08,0.07,0.15
lm208,108,34,77,33,220,49,90,37,0.41,0.41,0.31,0.25,1.50,0.87,108,35,34.20,35.50,0.49,0.69,5.15,7.28,0.87,17.76,0.86,0.92,20.17,3.18,0.24,0.82,0.04,0.07,0.11
lm209,127,36,90,33,283,58,131,45,0.46,0.34,0.28,0.11,0.46,0.48,127,38,37.20,34.10,0.45,0.71,5.34,7.55,0.86,17.27,0.69,0.71,17.86,2.99,0.19,0.70,0.04,0.08,0.11
lm210,180,64,136,62,520,117,225,91,0.43,0.40,0.36,0.13,0.91,0.67,180,38,33.80,31.30,0.35,0.67,5.58,7.89,0.83,16.01,0.60,0.50,13.50,2.60,0.12,0.65,0.05,0.03,0.08
